                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4396,                 4.3764,                 4.0007,                0.04892,                0.02391,                0.00902,                0.00259,                 2.9829,                 3.6814,                 3.4428,              0.0033293,              0.0033293,              0.0033293
                      2,                 2.6126,                 3.5235,                 2.8871,                0.15515,                0.13684,                0.06185,                0.02452,                 2.3154,                 2.9971,                 2.5834,              0.0065967,              0.0065967,              0.0065967
                      3,                 2.1294,                 2.9269,                 2.2813,                0.19249,                0.18247,                0.12616,                0.05763,                 2.0869,                 3.0648,                  2.234,              0.0097981,              0.0097981,              0.0097981
                      4,                 1.9111,                    2.6,                 2.0295,                0.26195,                0.27945,                0.20606,                0.10697,                 1.8872,                 2.3779,                 2.0118,               0.009703,               0.009703,               0.009703
                      5,                 1.7943,                 2.3963,                 1.9059,                0.37546,                0.31102,                0.27516,                0.15386,                 1.7714,                 2.1853,                 1.8933,               0.009604,               0.009604,               0.009604
                      6,                 1.7187,                 2.2747,                 1.8305,                0.39204,                0.32528,                0.29708,                0.17179,                 1.6896,                 2.0673,                 1.8089,               0.009505,               0.009505,               0.009505
                      7,                 1.6626,                 2.1833,                 1.7745,                0.43099,                0.34532,                0.33381,                0.19302,                 1.6641,                 1.9938,                 1.7592,               0.009406,               0.009406,               0.009406
                      8,                 1.6174,                 2.0945,                  1.723,                0.43485,                0.35253,                0.34534,                0.20495,                 1.6293,                 1.9679,                 1.7367,               0.009307,               0.009307,               0.009307
                      9,                  1.584,                 2.0434,                 1.7009,                0.47979,                0.37754,                0.38203,                0.22751,                 1.5844,                 1.9093,                 1.6829,               0.009208,               0.009208,               0.009208
                     10,                   1.56,                 1.9972,                 1.6728,                0.49982,                0.39251,                0.40716,                0.24939,                 1.5642,                 1.8067,                 1.6715,               0.009109,               0.009109,               0.009109
                     11,                 1.5402,                 1.9518,                 1.6575,                0.50232,                0.39292,                0.41307,                0.25835,                 1.5259,                 1.7389,                 1.6309,                0.00901,                0.00901,                0.00901
                     12,                 1.5202,                 1.9121,                 1.6325,                 0.5249,                0.39146,                0.42108,                0.25852,                 1.5317,                 1.7694,                  1.634,               0.008911,               0.008911,               0.008911
                     13,                 1.4949,                 1.8765,                 1.6119,                0.54723,                0.40456,                0.43718,                0.27472,                 1.4936,                 1.6901,                 1.5992,               0.008812,               0.008812,               0.008812
                     14,                 1.4803,                 1.8517,                 1.6048,                0.55626,                0.40386,                 0.4427,                0.27602,                 1.4747,                 1.6681,                 1.5846,               0.008713,               0.008713,               0.008713
                     15,                  1.462,                 1.8287,                 1.5886,                0.55356,                0.42081,                 0.4526,                0.28188,                  1.468,                 1.6283,                 1.5741,               0.008614,               0.008614,               0.008614
                     16,                 1.4519,                 1.7878,                 1.5779,                0.56631,                0.42994,                0.46676,                0.29422,                 1.4568,                 1.6049,                 1.5665,               0.008515,               0.008515,               0.008515
                     17,                  1.442,                 1.7579,                 1.5646,                0.57082,                0.43344,                0.47228,                0.29826,                 1.4405,                 1.5795,                 1.5446,               0.008416,               0.008416,               0.008416
