                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1231,                 3.1589,                 3.9863,                 0.0026,                 0.2036,                0.01201,                0.00391,                 2.8957,                 3.8014,                  4.112,             0.00065217,             0.00065217,             0.00065217
                      2,                 2.4724,                 2.1669,                 2.9561,                0.01742,                0.30751,                0.01736,                0.00774,                 2.8852,                 3.6899,                 4.8362,              0.0013058,              0.0013058,              0.0013058
                      3,                 1.9975,                 1.6826,                 2.4441,                0.81672,                0.59159,                0.70077,                 0.3388,                 2.0826,                 2.2143,                 2.8617,              0.0019462,              0.0019462,              0.0019462
                      4,                 1.7198,                  1.418,                 2.1618,                0.84793,                0.66847,                 0.7826,                0.43118,                 1.8457,                 2.3239,                  2.592,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.564,                 1.2422,                 1.9989,                0.84955,                0.74414,                0.84779,                0.51322,                 1.5707,                 1.8443,                 2.1838,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4634,                 1.1285,                 1.8947,                0.69548,                0.76817,                0.72179,                 0.4215,                 1.6028,                 2.1757,                 2.2616,               0.001901,               0.001901,               0.001901
                      7,                  1.362,                 1.0216,                 1.7947,                0.91912,                0.80781,                0.90861,                 0.6276,                 1.4556,                 1.3219,                 2.1052,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2811,                 0.9463,                 1.7178,                0.91983,                0.85946,                0.93677,                0.64756,                 1.3335,                 1.2632,                 1.9471,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2564,                0.90717,                 1.6824,                0.92821,                0.84648,                0.93344,                0.64341,                 1.3007,                 1.1936,                 1.9234,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2191,                0.86348,                 1.6494,                0.93547,                0.85325,                0.93627,                 0.6628,                 1.2398,                 1.0725,                 1.8324,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1604,                0.82849,                 1.5958,                0.93982,                0.89103,                 0.9514,                0.70109,                 1.2195,                0.96691,                 1.7934,               0.001802,               0.001802,               0.001802
                     12,                  1.142,                0.79027,                 1.5746,                0.94353,                0.91327,                0.96433,                0.72869,                 1.1023,                0.88175,                 1.6558,              0.0017822,              0.0017822,              0.0017822
